Concept,Viewpoint,Subcategory,Category,Description,schema,ID,URL
Ecosystem Typologies,Enterprise (Science) Viewpoint,Framework,Ecological Principles,"Ecosystem typologies refer to a systematic classification framework for Earth's ecosystems that encompasses both their functional and compositional characteristics. This comprehensive typology aids in identifying ecosystems crucial for biodiversity conservation, research, management, and human well-being in the future. By integrating various aspects of ecosystems, such as their structure, biodiversity, and ecological functions, this typology offers a holistic understanding of the diversity and importance of different ecosystem types across the globe. This classification framework serves as a valuable tool for policymakers, conservationists, and researchers to prioritize conservation efforts, allocate resources effectively, and develop sustainable management strategies for Earth's ecosystems.",,,https://www.iucn.org/resources/conservation-tool/iucn-global-ecosystem-typology
Functioning Ecosystem,Enterprise (Science) Viewpoint,System,Ecological Principles,A functional ecosystem is entirely self-sustaining or natural and represents the ultimate aim of restoration endeavors.,Item,10,"https://doi.org/10.3389/fmicb.2022.938481,"
Ecosystem Degradation,Enterprise (Science) Viewpoint,Process,Ecological Principles," The deterioration of the environment is manifested in different ways through the depletion of resources, such as air, water, and soil resulting in habitat destruction, the extinction of wildlife, and pollution leading to the complete destruction of ecosystems. The degradation of the environment mainly occurs due to overexploitation of resources for short-term economic goals viz. deforestation for mining, building roads, or exploitation of flora and fauna. Some natural phenomena like active volcanoes, hurricanes, droughts, and earthquakes may also be responsible for causing damage to the ecosystem. Many of the world’s ecosystems have undergone significant degradation with negative impacts on biological diversity. Fundamentally, ecosystem degradation is an environmental problem that diminishes the capacity of species to survive. Ecosystem restoration can be the only solution to the existing crisis.",Item,11,https://doi.org/10.3389/fmicb.2022.938481
Ecological Restoration,Enterprise (Science) Viewpoint,Process,Ecological Principles," Ecosystem restoration is essentially the “process of assisting the recovery of an ecosystem that has been degraded, damaged, or destroyed” (SER, 2004). The practice of ecosystem restoration includes a wide scope, such as erosion control, reforestation, usage of genetically local native species, removal of non-native species and weeds, revegetation of disturbed areas, daylighting streams, and reintroduction of native species, as well as habitat and range improvement for targeted species. The nutrient cycles and energy fluxes are the most basic and essential components of ecosystems (Ochoa-Hueso et al., 2021). ",Item,12,https://doi.org/10.3389/fmicb.2022.938481
Carbon Cycling,Enterprise (Science) Viewpoint,Ecological Cycles,Ecological Principles,"The cycle of carbon in the biosphere, in which plants convert carbon dioxide to organic compounds that are consumed by plants and animals, and the carbon is returned to the biosphere in inorganic form by processes of respiration and decay. (Source: MGH)",Item,14,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Water Cycle,Enterprise (Science) Viewpoint,Ecological Cycles,Ecological Principles,"The movement of water between the oceans, ground surface and atmosphere by evaporation, precipitation and the activity of living organisms, as one of the mayor biogeochemical cycles. Each day water evaporates from the oceans and is carried in the air from the sea over the land, which receives it as precipitation, and finally returns from the land to the sea through rivers, thus completing the cycle. (Source: ALLa)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Nutrient Cycling,Enterprise (Science) Viewpoint,Ecological Cycles,Ecological Principles,"A biogeochemical cycle, in which inorganic nutrients move through the soil, living organisms, air and water or through some of these. (Source: ALL2)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Nitrogen Cycle,Enterprise (Science) Viewpoint,Ecological Cycles,Ecological Principles,"The complex set of processes by which crops acquire the large amount of nitrogen they need to make proteins, nucleic acids and other biochemicals of which they are composed, and how the nitrogen returns to the atmosphere. (Source: WRIGHT)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Energy Flow,Enterprise (Science) Viewpoint,Energy Flow,Ecological Principles,"A sequence of organisms on successive trophic levels within a community, through which energy is transferred by feeding; energy enters the food chain during fixation by primary producers (mainly green plants) and passes to the herbivores (primary consumers) and then to the carnivores (secondary and tertiary consumers). (Source: LBC)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Trophic Transfer,Enterprise (Science) Viewpoint,Energy Flow,Ecological Principles,"Is part of the feeding relationships of organisms in communities and ecosystems. Trophic links between populations represent flows of organisms, organic energy and nutrients. Trophic transfers are important in population dynamics, biogeochemistry, and ecosystem energetics. (Source: PARCOR)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Energy Pyramids,Enterprise (Science) Viewpoint,Energy Flow,Ecological Principles,"An energy pyramid, also known as a pyramid of productivity, illustrates the flow of energy through different trophic levels in an ecosystem. It shows the production or turnover rate of biomass at each trophic level, with producers at the bottom and higher trophic levels on top. This graph provides a dynamic view of energy flow over time, typically measured in units such as grams per square meter per year or calories per square meter per year. In a healthy ecosystem, the energy pyramid reflects a standard ecological pyramid, where lower trophic levels contain more energy than higher trophic levels.",,,"ark:/13960/t6h18f64g, https://en.wikipedia.org/wiki/Ecological_pyramid"
Food Webs,Enterprise (Science) Viewpoint,Energy Flow,Ecological Principles,"A sequence of organisms on successive trophic levels within a community, through which energy is transferred by feeding; energy enters the food chain during fixation by primary producers (mainly green plants) and passes to the herbivores (primary consumers) and then to the carnivores (secondary and tertiary consumers). (Source: LBC)",,,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Genetic Diversity,Enterprise (Science) Viewpoint,Ecological Diversity,Ecological Principles,"Genetic diversity refers to the range of genetic characteristics present among individuals of the same species. For instance, within the species Homo sapiens, there exist various races showcasing genetic variability. Economically valuable crops are often cultivated by selecting desirable heritable traits from wild plants. Consequently, many wild ancestor plants possess genes not present in modern crop varieties. An environment harboring both domestic crop varieties and their wild ancestors exhibits greater genetic diversity compared to environments where wild ancestors have been displaced to accommodate domestic crops.",,,https://doi.org/10.1080/13504500709469733
Species Diveristy ,Enterprise (Science) Viewpoint,Ecological Diversity,Ecological Principles,"Species diversity refers to the variety of different species present within a particular area. For instance, an area with a wide range of annual and perennial grasses and shrubs, totaling 100 species, demonstrates greater diversity compared to the same area where heavy grazing has significantly reduced or eliminated certain perennial grass species.",,,https://doi.org/10.1080/13504500709469733
Biodiversity,Enterprise (Science) Viewpoint,Ecological Diversity,Ecological Principles,"Biodiversity encompasses the totality of interactions within an ecosystem, typically acknowledged across three distinct levels: genetic diversity, species diversity, and ecosystem diversity.",,,https://doi.org/10.1080/13504500709469733
Species Richness,Enterprise (Science) Viewpoint,Ecological Diversity,Ecological Principles,"Species richness is the number of different species represented in an ecological community, landscape or region.[1] Species richness is simply a count of species, and it does not take into account the abundances of the species or their relative abundance distributions. Species richness is sometimes considered synonymous with species diversity, but the formal metric species diversity takes into account both species richness and species evenness. ",,, https://en.wikipedia.org/wiki/Species_richness
Ecosystem Diversity,Enterprise (Science) Viewpoint,Ecological Diversity,Ecological Principles,"Ecosystem diversity is the variety of ecosystems in an area. For example, a landscape interspersed with croplands, grasslands and woodlands has more diversity than a landscape with most of the woodlands converted to grasslands and croplands.",,,https://doi.org/10.1080/13504500709469733
Terrestrial ecosystem,Enterprise (Science) Viewpoint,Ecosystem Types,Ecological Principles,"Any terrestrial environment, from small to large, in which plants and animals interact with the chemical and physical features of the environment. (Source: GILP96)",Item,16,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Marine ecosystem,Enterprise (Science) Viewpoint,Ecosystem Types,Ecological Principles,"Any marine environment, from pond to ocean, in which plants and animals interact with the chemical and physical features of the environment. (Source: GILP96)",Item,17,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Freshwater ecosystem,Enterprise (Science) Viewpoint,Ecosystem Types,Ecological Principles,The living organisms and nonliving materials of an inland aquatic environment. (Source: MGH),Item,18,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Aquatic ecosystem,Enterprise (Science) Viewpoint,Ecosystem Types,Ecological Principles,"Any watery environment, from small to large, from pond to ocean, in which plants and animals interact with the chemical and physical features of the environment. (Source: GILP96)",Item,19,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Urban Ecosystems,Enterprise (Science) Viewpoint,Ecosystem Types,Ecological Principles,"Towns and cities viewed as ecosystems, having an input of matter and energy, recycling within the system, and an output of matter and energy into the surroundings. (Source: GILP96)",Item,20,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Climate Change,Enterprise (Science) Viewpoint,Climate change,Ecological Principles,"The long-term fluctuations in temperature, precipitation, wind, and all other aspects of the Earth's climate. External processes, such as solar-irradiance variations, variations of the Earth's orbital parameters (eccentricity, precession, and inclination), lithosphere motions, and volcanic activity, are factors in climatic variation. Internal variations of the climate system, e.g., changes in the abundance of greenhouse gases, also may produce fluctuations of sufficient magnitude and variability to explain observed climate change through the feedback processes interrelating the components of the climate system. (Source: GSFC)",category,22,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Man-made climate change,Enterprise (Science) Viewpoint,Climate change,Ecological Principles,Man-made climate changes may be due to the greenhouse effect and other human activities. A change in albedo of the land brought about by desertification and deforestation affects the amount of solar energy absorbed at the earth's surface. Man-made aerosols produced from the sulphur released from power stations can modify clouds. Changes in ozone levels in the stratosphere due to CFCs may influence climate. (Source: WRIGHT),Item,23,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Anthropocentric,Enterprise (Science) Viewpoint,Climate change,Ecological Principles,Anthropocentric means considering human beings as the most significant entity of the universe or interpreting or regarding the world in terms of human values and experiences. ,Item,25, https://www.merriam-webster.com/dictionary/anthropocentric
Atmosphere,Enterprise (Science) Viewpoint,Climate change,Ecological Principles,The gaseous envelope surrounding the Earth in a several kilometers-thick layer. (Source: UVAROVa),Item,26,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Population Dynamics,Enterprise (Science) Viewpoint,Climate change,Ecological Principles,"The process of numerical and structural change within populations resulting from births, deaths, and movements. (Source: LANDY)",Item,27,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Climate  ,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"The average weather condition in a region of the world. Many aspects of the Earth's geography affect the climate. Equatorial, or low, latitudes are hotter than the polar latitudes because of the angle at which the rays of sunlight arrive at the Earth's surface. The difference in temperature at the equator and at the poles has an influence on the global circulation of huge masses of air. Cool air at the poles sinks and spreads along the surface of the Earth towards the equator. Cool air forces its way under the lower density warmer air in the lower regions, pushing the lighter air up and toward the poles, where it will cool and descend. (Source: WRIGHT)",Item,8,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Ecosystem,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"An ecosystem is a system comprising organisms and physical factors within a defined area, serving as fundamental units of nature. It encompasses all biotic (living) and abiotic (non-living) components, including air, water, and soil. Ecosystem ecology extends from organismal, population, and community ecology, focusing on the storage and movement of nutrients and energy among organisms, atmosphere, soil, and water. Nutrient cycles and energy fluxes are central components of ecosystems, highlighting the interaction between living and nonliving elements within a relatively self-contained energy flow system.",category,9,"https://www.edtechpress.co.uk/details/ecology-environment-and-pollution, https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus, doi.org/10.3389/fmicb.2022.938481"
Ecosystem Components,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"Valued Components (VECs) encompass both ecological and social aspects, with focal species and habitats representing valued ecosystem components, and components of the social environment deemed to hold value constituting valued social or socioeconomic components. Cumulative Impact Assessment (CIA) aims to predict and assess the significance of impacts on VECs, prioritizing the sustainability of these components over solely focusing on the impacts of individual plans or projects.",Item,30,https://doi.org/10.4337/9781783474028
Biotope,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"A region of relatively uniform environmental conditions, occupied by a given plant community and its associated animal community. (Source: PAENS)",Item,31,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Biocenosis,Enterprise (Science) Viewpoint,Component,Ecosystem Components,A biocenosis is a group of living organisms attracted to environmental factors. The group is characterized by a specific composition that determines their interdependence; it occupies a living space known as a biotope. ,Item,32,https://www.gwp.org/globalassets/global/toolbox/references/a-handbook-for-management-and-restoration-of-aquatic-ecosystems-in-river-and-lake-basins-no.3-2015.pdf.
Primary Producers,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,Energy enters the food chain during fixation by primary producers (mainly green plants) and passes to the herbivores (primary consumers) and then to the carnivores (secondary and tertiary consumers).  (Source: LBC),Item,34,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Keystone Species,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,"A keystone species is a species that exerts a disproportionately significant influence on its environment relative to its abundance. Introduced by zoologist Robert T. Paine in 1969, keystone species are vital for maintaining the structure of ecological communities, impacting numerous other organisms within an ecosystem and influencing the diversity and abundance of various species. Without keystone species, the ecosystem would undergo drastic alterations or potentially cease to exist. Certain keystone species, like the wolf, also function as apex predators.",Item,35, https://en.wikipedia.org/wiki/Keystone_species
Invasive Species,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,"Invasive species refer to the introduction of animal or plant species into non-native environments, leading to adverse impacts on native species and ecosystems. This translocation carries inherent risks, as newly introduced species may outcompete or otherwise harm native species and communities, disrupting ecological balance and biodiversity.",Item,36,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Biosynthesis,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,Biosynthesis refers to the production of a chemical compound by a living organism through either synthesis or degradation processes.,Item,37,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Photosynthesis,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,"The process by which plants transform carbon dioxide and water into carbohydrates and other compounds, using energy from the sun captured by chlorophyll in the plant. Oxygen is a by-product of the process. Photosynthesis is the essence of all plant life (autotrophic production) and hence of all animal life (heterotrophic production) on the planet Earth. The rate of photosynthesis depends on climate, intensity and duration of sunlight, available leaf area, soil nutrient availability, temperature, carbon dioxide concentration, and soil moisture regimes. (Source: DUNSTE). Photosynthesis (which converts atmospheric carbon into plant material) is ane example of a pollution sink, as is the ocean. Sinks are vehicles for removal of a  chemical or gas from the atmosphere-biosphere-ocean system, in which the substance is absorbed into a permanent or semi-permanent repository, or else transformed into another substance. Sinks are a fundamental factor in the ongoing balance which determines the concentration of every greenhouse gas in the atmosphere. If the sink is greater than the sources of a gas, its concentration in the atmosphere will decrease; if the source is greater than the sink, the concentration will increase. (Source: GLOCHA)",Item,38,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Flora and Fauna,Enterprise (Science) Viewpoint,Terrestrial Domain,Ecosystem Components,"In biological terms, flora is the plant life characterizing a specific geographic region or environment. Fauna is the entire animal life of a given region, habitat or geological stratum. (Source: LBC). Flora and Fauna refers to both of these",Item,24,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Waste water quality,Enterprise (Science) Viewpoint,Aquatic Domain,Ecosystem Components,"The state or condition of spent or used water that contains dissolved or suspended matter from a home, community farm or industry. (Source: TOE / RHW)",Item,40,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Groundwater quality,Enterprise (Science) Viewpoint,Aquatic Domain,Ecosystem Components,Groundwater accounts for over 95% of the earth's useable fresh-water resources; over half the world's population depends on groundwater for drinking-water supplies. This invisible resource is vulnerable to pollution and over-exploitation. Effective conservation of groundwater supplies requires the integration of land-use and water management. (Source: GILP96),Item,41,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Acid Rain,Enterprise (Science) Viewpoint,Aquatic Domain,Ecosystem Components," Rain having a pH less than 5.6. The acidity results from chemical reactions occurring when water, sulphur dioxide, and nitrogen oxides, generally released by industrial processes, are chemically transformed into sulphuric and nitric acids. (Source: DUNSTE)",Item,43,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Eutrophication,Enterprise (Science) Viewpoint,Aquatic Domain,Ecosystem Components," A process of pollution that occurs when a lake or stream becomes over-rich in plant nutrient; as a consequence it becomes overgrown in algae and other aquatic plants. The plants die and decompose. In decomposing the plants rob the water of oxygen and the lake, river or stream becomes lifeless. Nitrate fertilizers which drain from the fields, nutrients from animal wastes and human sewage are the primary causes of eutrophication. They have high biological oxygen demand (BOD). (Source: WRIGHT)",Item,44,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Nitrogen Deposition,Enterprise (Science) Viewpoint,Aquatic Domain,Ecosystem Components,"Nitrogen deposition refers to the process by which nitrogen compounds, primarily from human activities such as agriculture and industry, are deposited into terrestrial and marine ecosystems via atmospheric emissions. This deposition can lead to environmental issues like soil acidification, freshwater eutrophication, and biodiversity reduction.",category,45, https://doi.org/10.1016/j.ecoenv.2021.112180 
Phenology,Enterprise (Science) Viewpoint,Framework,Ecosystem Components,"Phenology is the scientific study of recurring events in biological life cycles and how these are affected by seasonal and interannual variations in climate, as well as habitat factors like elevation.",Item,47, https://en.wikipedia.org/wiki/Phenology
Seasonal Patterns,Enterprise (Science) Viewpoint,Framework,Ecosystem Components,"In time series data, seasonality is the presence of variations that occur at specific regular intervals less than a year, such as weekly, monthly, or quarterly. Seasonality may be caused by various factors, such as weather, vacation, and holidays and consists of periodic, repetitive, and generally regular and predictable patterns in the levels of a time series.",Item,48, https://en.wikipedia.org/wiki/Seasonality
Seasonal migration,Enterprise (Science) Viewpoint,Framework,Ecosystem Components,The periodic movement of a population from one region or climate to another in accordance with the yearly cycle of weather and temperature changes. (Source: RHW),Item,49,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Seasonal variation,Enterprise (Science) Viewpoint,Framework,Ecosystem Components," In time series, that part of the movement which is assigned to the effect of the seasons on the year. (Source: ECHO2)",Item,50,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Abiotic Factors,Enterprise (Science) Viewpoint,Influence,Ecosystem Components,"Physical, chemical and other non-living environmental factors. They are essential for living plants and animals of an ecosystem, providing the essential elements and nutrients that are necessary for growth. The abiotic elements also include the climatic and pedologic components of the ecosystem. (Source: LBC / WRIGHT)",Item,52,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Biotic Factors,Enterprise (Science) Viewpoint,Influence,Ecosystem Components,"The influence upon the environment of organisms owing to the presence and activities of other organisms, as distinct from a physical, abiotic, environmental factor. (Source: ALL2)",Item,53,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Microbial Communities,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"Microbial communities are complex assemblages of microbes that profoundly influence biogeochemical processes in various ecosystems. Defining these communities is challenging but essential for advancing the field. Key aspects include analyzing nutrient pathways, understanding interactions with the environment, and studying emergent properties. Similar to plant and animal communities, microbial communities exhibit biological diversity, functional redundancy, and system stability. However, defining microbial communities is complicated by their small-scale interactions and patchy distribution in habitats. Microbial ecologists must explicitly define the term for each research context, considering both local and macro-scale perspectives to characterize these communities accurately.",Item,55, https://doi.org/10.1038/ismej.2009.88
Microbial resource,Enterprise (Science) Viewpoint,Component,Ecosystem Components,"Any available source of supply derived from microbes, which would be used for beneficial purposes, such as for the production of food substances and drugs. (Source: APD)",Item,56,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Human Activities,Enterprise (Science) Viewpoint,Human Activities,Ecosystem Components,"Human activities are the various actions for recreation, living, or necessity done by people. For instance it includes leisure, entertainment, manufacturing, recreation, war, and exercise.",Item,58, https://en.wikipedia.org/wiki/Wikipedia:Contents/Human_activities
Human ecology,Enterprise (Science) Viewpoint,Human Activities,Ecosystem Components,"The study of the growth, distribution, and organization of human communities relative to their interrelationships with other humans and other species and with their environment. (Source: UNUN)",Item,59,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Land Use,Enterprise (Science) Viewpoint,Human Activities,Ecosystem Components,"The term land use deals with the spatial aspects of all human activities on the land and with the way in which the land surface is adapted, or could be adapted, to serve human needs. (Source: GOOD)",Item,60,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Pollution,Enterprise (Science) Viewpoint,Human Activities,Ecosystem Components,"The indirect or direct alteration of the biological, thermal, physical, or radioactive properties of any medium in such a way as to create a hazard or potential hazard to human health or to the health, safety or welfare of any living species. (Source: ALL)",Item,61,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Soil Composition,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Soil composition refers to the makeup of soil, vital for plant, animal, and human existence. Conservation is crucial to prevent soil degradation caused by natural and human factors. Restoration requires either natural processes or intervention. Quantifying degradation and restoration relies on measurable properties. Soil quality, crucial for plant growth, is determined by various soil properties. The terms soil quality and soil health may vary but broadly refer to soil's ability to sustain productivity and environmental quality. Quality is influenced by climate, soil characteristics, and human activities, while soil management practices can alter soil quality.",Item,64,https://doi.org/10.3389/fmicb.2022.938481
Soil Fertility,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components, The status of a soil with respect to the amount and availability to plants of elements necessary for plant growth. (Source: BJGEO),Item,65,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Soil Erosion ,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Detachment and movement of topsoil or soil material from the upper part of the profile, by the action of wind or running water, especially as a result of changes brought about by human activity, such as unsuitable or mismanaged agriculture. (Source: BJGEO)",Item,66,https://www.eea.europa.eu/help/glossary/gemet-environmental-thesaurus
Microbial indicators,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"The microbial biomass is considered one of the most sensitive and effective indicators because it is directly influenced by biotic and abiotic factors (Karlen et al., 2019; Nunes et al., 2020)",Item,67, https://doi.org/10.3389/fmicb.2022.938481
Trace / heavy & organic pollutant,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Trace (or heavy) pollutants, as well as organic pollutants, are substances that can be indicated by stress proteins, such as heat shock proteins like hsp70 and hsp60. These proteins serve as biomarkers for monitoring soil exposure to the forementioned pollutants.",Item,68, https://doi.org/10.3389/fmicb.2022.938481
Desert soil,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Desert soils are studied for promising bio-indicators, such as rain frequency, which influences soil conditions and microbial community patterns. Soil nematode communities are considered indicators in sandy ecosystems, with Caragana microphylla plantation enhancing nematode diversity. Sand-stabilizing shrubs in desert regions positively affect soil enzyme activity related to carbon and nitrogen cycles.",category,69, https://doi.org/10.3389/fmicb.2022.938481
Pesticide polluted soils,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Pesticides are chemical substances used to control agricultural pests, yet they often have unintended repercussions on non-target soil organisms and processes. Their impact on soil health indicators depends on factors such as chemical composition and soil conditions, leading to varying effects observed in research. Pesticide application can alter soil microbial biomass, with repeated use often reducing fungal populations while increasing certain bacterial populations. Molecular techniques like DGGE can help assess specific pesticide effects on soil microbial communities, revealing diverse responses. Soil respiration acts as an indicator of microbial CO2 respiration, with studies showing both positive and negative effects of pesticides on microbial growth and activity. Chemical pesticide application tends to elevate microbial metabolic quotient, signaling increased energy requirements for maintenance. Additionally, pesticides can influence soil enzymatic activity, inhibiting some enzymes while stimulating others. Despite considerable focus on soil incubation experiments, more field studies are needed to comprehensively understand pesticide impacts on soil ecosystems.",Item,70, https://doi.org/10.3389/fmicb.2022.938481
Radioactive materials polluted soils,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Radioactivity has a lasting impact on soil ecology. Studies have identified certain organisms, like earthworms and ground beetles, as bio-indicators of radioactive pollution levels. For instance, earthworms showed impaired reproduction but increased survival rates under radiation exposure. Similarly, soil macro-invertebrates exhibit lower abundance and biodiversity in contaminated areas. Land snails and aquatic mosses also serve as bio-indicators of radioactive contamination.",Item,71, https://doi.org/10.3389/fmicb.2022.938481
Anthropogenic stressed soils,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Anthropogenic stressed soils refer to soil environments that have been altered by human activities, leading to changes in the community structure and abundance of soil invertebrates. Pollution from anthropogenic sources can cause shifts in nematode communities, with sensitive species decreasing in abundance under light to moderate pollution, while tolerant species remain unaffected. However, heavily polluted soils may see a decrease in tolerant species due to toxic effects or reduced microbial activity.",Item,72, https://doi.org/10.3389/fmicb.2022.938481
Wetland assessment and restoration,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Wetland assessment and restoration often utilize microbial metabolic indicators in conjunction with hydric soil indicators to design assessment strategies. For instance, microbial loop components have been effectively used to monitor ecological disturbance in restored wetlands. Microbial diversity and community comparison indices are also valuable for evaluating wetland pollution effects. Ratios of oligotrophic to copiotrophic organisms, such as ammonia-oxidizing archaea to ammonia-oxidizing bacteria, serve as indicators of wetland restoration success. Molecular technologies like nucleic acid fingerprinting and lipid biomarkers aid in assessing wetland trophic status and restoration efficacy. Changes in microbial biomarkers, such as fungal abundance and ratios of gram-negative to gram-positive bacteria, provide insights into wetland restoration status and environmental stressors.",Item,73, https://doi.org/10.3389/fmicb.2022.938481
Soil bio-indicators,Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Soil bio-indicators are species or groups of species reflecting contamination levels in an environment. These indicators encompass organisms or communities providing quantitative information on environmental quality. Soil microbial parameters, including biomass, activity, functionality, and diversity, serve as key bio-indicators for soil health assessment. These parameters are broadly categorized into physiological, metabolic, functional, and molecular indicators.",category,74, https://doi.org/10.3389/fmicb.2022.938481
Biological Index of Fertility (BIF),Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components," BIF involves the measurement of respiration and enzymatic activities for its calculation (Vittori Antisari et al., 2021).",Item,75, https://doi.org/10.3389/fmicb.2022.938481
Microbial index of soil (Mi),Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"Mi involves the measurement of microbial biomass Carbon (C) and Nitrogen (N), potentially mineralizable N, soil respiration, bacterial population, mycorrhizal infection, dehydrogenase, and phosphatase activities, and it is derived by Combining all the data with a crop index and nutrient index (Kang et al., 2005).",Item,76, https://doi.org/10.3389/fmicb.2022.938481
Enzyme Activity Number (EAN),Enterprise (Science) Viewpoint,Subterranian Domain,Ecosystem Components,"EAN involves dehydrogenase, catalase, alkaline phosphatase, amylase, and protease enzymes (Beck et al., 1984). ",Item,77, https://doi.org/10.3389/fmicb.2022.938481
,,,,,Item,78,
